,body
303,"*** Attention: US Citizens *** Earn extra money working at home in your spare time.

The government needs your help!

Become a mortgage refund tracer in a few easy steps.

Millions of dollars are left to be distrubuted each year and each state government
pays tracers to help track down the poeple who are to receive the money owed to them
 It is the law that they must disperse the funds.

We provide you with the tools and information necessary to make yourself thousands each month working from  the privacy of your own home.
Part time or full time - You spend as much or as little time as you want while helping your neighbors and the US government!

Visit:  http://www3.sympatico.ca/mark.daisy/mortgage/


Don't miss this awesome opportunity! We are only making this information available to a limited number of citizens.
No risk to participate in this great program!!!




----------------------------------------------
Please note:. This is a one time mailing from our marketing department. We will not solicit any other offers.
 


126432211111"
304,"Tomorrow will be huge.  Password: Soleil has become the premiere Thursday night in New York - with a chill after-work and a blazing late-night.  This Thursday, producers from Columbia Tristar are casting people for their new reality TV show.  

We invite all members of the media and entertainment industries for an exclusive event celebrating New York high-life.

Password: SOLEIL
Thursdays @Nativa
5 East 19th Street
b/w B'way & 5th Ave.
New York, NY
 
""SOLEIL"" REQUIRED FOR ENTRY
You must say 'Soleil' at the door.
 
$5 before 10pm
 
6-8pm Happy Hour
Free dinner buffet.
1/2 price drinks.
party 'til 4am
 
Music: Hip-Hop, Reggae, Latin Soul, R&B
 
RSVP Recommended:
212.591.1253
password@thesoleilgroup.com

----------------
To be removed from this list, email: remove@thesoleilgroup.com with the word ""remove"" in the subject heading. 
----------------






http://xent.com/mailman/listinfo/fork"
305,"Untitled Document
<http://www.foreclosureworld.net/index2.htm>
<http://www.foreclosureworld.net/index2.htm>
<http://www.foreclosureworld.net/index2.htm>"
306,"Opportunity is knocking. Why?

Because mortgage rates are rising.

As a National Lender, not a broker, we can
guarantee you the lowest possible rate on your
home loan.

Rates may well never be this low again. This is
your chance to secure a better future. You could
literally save enough money to buy that new car
you've been wanting or to take that special
vacation. Why pay more than you have to pay?

We can guarantee you the best rate and the best
deal possible for you. But only if you act now.

This is a free service. No fees of any kind.
 
You can easily determine if we can help you in
just a few short minutes. We only provide
information in terms so simple that anyone can
understand them. We promise that you won't need
an attorney to see the savings.
 
We offer both first and second home loans and we
will be happy to show you why your current loan
is the best for you. 0r why you should replace
it.

Once again, there's no risk for you. None at all.

Take two minutes and use the link(s) below that
works for you. Let us show you how to get more
for yourself and your family. Don't let
opportunity pass you by. Take action now.

<a href=""http://mamma.com/Search?evid=CE002333701a&eng=Lycos&cb=WebZone&dest=http://211.167.74.101/mortg/"">Click_Here</a>

http://mamma.com/Search?evid=CE002333701a&eng=Lycos&cb=WebZone&dest=http://211.167.74.101/mortg/
 
Sincerely,

Chalres M. Gillette
MortCorp, LLC

lnqqbopolnujfmigjbfcittazhnnfxnmysspcmokdljxprdecawunewuumvjtpfnsbqwknqfkybbuvvnikbxcsnxdodgistybllysriqulpzvspiqkcbpjxvh


__________________________________________________________________
Your favorite stores, helpful shopping tools and great gift ideas. Experience the convenience of buying online with Shop@Netscape! http://shopnow.netscape.com/

Get your own FREE, personal Netscape Mail account today at http://webmail.netscape.com/"
307,"Save up to
75%
on your Term Life
Insurance!
Compare rates from top insurance companies around
the country
In our life and times, it's important to plan for
your family's future, while
being comfortable financially.  Choose the right
Life Insurance policy today.
Click the link below to compare the lowest rates
and save up to
75%
COMPARE YOUR COVERAGE
<http://61.129.68.19/user0202/termquotes/473400/index.htm>
You'll be able to compare rates and get a free
application in less than a minute!
*Get your FREE instant quotes...
*Compare the lowest prices, then...
*Select a company and Apply Online.
GET A FREE QUOTE NOW!
<http://61.129.68.19/user0202/termquotes/473400/index.htm>
You can't predict the future, but you can always
prepare for it.
to be
excluded from future contacts <http://61.129.68.19/light/watch.asp>"
308,"OPRAH, NIGHTLINE, MARIA SHRIVER, 48 HOURS, 20/20, 
PLAYBOY, KIPLINGERS and more have all interviewed this 
FAMOUS Private Investigator, seeking to find how he made 
his fortune.  Take a moment and learn his long sought after SECRETS.

This PI is the originator of seeking out Judicial Judgments and using 
them to make a FORTUNE!  Most people have no idea what a 
Judicial Judgment is, much less how to process them to earn a very 
substantial income.

Hereĺs the SCOOP-  When one person or business files suit against 
another and wins, the winner then has a JUDICIAL JUDGMENT.
BUT, even though they won- guess what? They soon find out these 
SHOCKING FACTS:

a) Its now up to them to Collect on the Judgment
b) The court does not require the loser to pay you. 
c) The court will not help you to collect it. 
d) Employees of the court are FORBIDDEN BY LAW from telling 
you how to collect the judgment. 

All the winner really has is a WORTHLESS piece of paper. They 
must trace the loser down, find their assets; their employment, bank 
accounts, real estate, stocks and bonds, etc. And THE WINNER 
has to pay all the expenses to find this out.  All of a sudden that 
BIG CASH SETTLEMENT the person got, has become an 
expense instead of an asset!  

WHAT HAPPENS THEN?- MILLIONS of Judgments just sit in 
files and become forgotten. people give up trying.  Right now in the 
United States there are between 200 and 300 BILLION dollars of 
uncollected JUDICIAL JUDGMENTs. For every Judgment that is paid, 
5 or more unpaid Judgments take its place. 

So how does this Private Investigator make a FORTUNE collecting 
other peopleĺs judgments?  Thatĺs what we want to tell you.  
Through long and hard work, this Sleuth has learned a 
process that will turn these forgotten useless pieces of paper 
into a FORTUNE without the high collection cost.

The income potential is substantial in this profession! Using the 
techniques taught in his course , people are now working full-time 
making $96,000.00 to over $200,000.00 per year. Part-time 
associates are earning between $24,000.00 and $100,000.00 per 
year. Most choose to work out of their homes, others build sizable 
organizations.

Today, people trained in this business opportunity are processing 
over 500 million dollars in JUDICIAL JUDGMENTs!  AND, 
new judgments become available every day.  The work is
ALWAYS there, you just need to know how to go about it. 
This is a GREAT OPPORTUNITY for anyone who wants to start 
something ôon the sideö that will offer a solid income in the future. 
It is also ideal because you determine how much time you want to 
spend doing this and when. Make no mistake though-THIS IS NOT 
A GET RICH QUICK SCHEME. It requires effort on your part.  
The more effort the bigger the reward.  You choose how much you 
want to make!

If you've ever dreamed the American Dream financial freedom 
this may very well be the opportunity youĺve been looking for.  
This business can also protect you from corporate downsizing. 
It might also be your ticket to freedom from others telling you what
to do. This business lets you control your destiny! You donĺt need 
to be a rocket scientist either! Our training has made this happen for 
many others already. Make it happen for you too!

Take the first step and talk it over with one of our trained 
counselors by calling 1-720-733-7315.  Let them answer your 
questions so that youĺll know if itĺs right for you.  There is no cost 
or obligation on your part except the cost of a phone call.  

Join a small number of people who are reaping the BIG 
REWARDS, by calling us at 1-720-733-7315 today!"
309,"As seen on NBC, CBS, CNN, and even Oprah! The health 
discovery that actually reverses aging while burning fat, 
without dieting or exercise! This proven discovery has even 
been reported on by the New England Journal of Medicine. 
Forget  aging and dieting forever! And it's Guaranteed!   

Click here:
http://66.231.133.70/sj1/index.html 

Would you like to lose weight while you sleep!
No dieting!
No hunger pains!
No Cravings!
No strenuous exercise!
Change your life forever! 

100% GUARANTEED!

1.Body Fat Loss            82% improvement.
2.Wrinkle Reduction     61% improvement.
3.Energy Level              84% improvement.
4.Muscle Strength         88% improvement.
5.Sexual Potency         75% improvement.
6.Emotional Stability      67% improvement.
7.Memory                      62% improvement.

***********************************************************

You are receiving this email as a subscriber
to the Opt-In America Mailing List. 
To unsubscribe from future offers,
just click here:
mailto:affiliateoptout@btamail.net.cn?Subject=off"
310,"Hi Sweetie,

Come see me and my Hot girl friends school at our new web site->

http://freexmovies.net/mypic/

Come to see FAST before delete this page."
311,"cpurf
6
zb
20
%
Hd      
!!!
sQvNv
N{o~~
e``B
x HdQv                                                                    
  x 1/12 = u1QvO
$100,000 x
20%
x 1/12=
$1,667
KQ
$100,000 x
0 %
x 1/12=
$0
KQ
@uONvB    
1 %
Y
$100,000 x
1 %
=
$1000
$1667-$1000=$667
@YizU667
NvQUAeQCC
$1000
t\\hufMz!!!
UCA
NzH@zI
qM:0968-523-989   pj
mWG
O :
k
k
~
G
~
:
e-mailG
qG
a}G
Hd`iG
iHd
iHd
iHd
iHdHW
HdBG
BU
BU
BU
BU
BU
BUHW
NvB :
vU
vU
vU
vU
vU
vUHW
pzG
iH
W
U
W
O_LNv:
L
G
X{
e
AY\\HXo!!
@
--DeathToSpamDeathToSpamDeathToSpam--


-------------------------------------------------------
This sf.net email is sponsored by:ThinkGeek
Welcome to geek heaven.
http://thinkgeek.com/sf
_______________________________________________
Spamassassin-Sightings mailing list
Spamassassin-Sightings@lists.sourceforge.net
https://lists.sourceforge.net/lists/listinfo/spamassassin-sightings"
312,"We offer a product that will let you develop a customer base for your business in no time. We have compiled information over the Internet on every US business. One single CD contains data on 12 million US companies - sorted by Yellow Pages Categories and SIC Codes.

Accuracy? Freshness? We have sold thousands of CDs, and haven't had one complaint. We are committed to deliver the best quality data that is highly rewarding to your business. How?

- Fill out your address book with every company related to your business.
- Select companies within your area, or across the whole USA.
- Create a web site - just put our data in HTML format.
- Thinking big? Create your own complete USA Yellow Pages Web Site.
- Compare and update your old database with our CD. Keep it fresh.
- Promote your products and services, send out your brochures and catalogs.

There are endless possibilities how to use the CD.

As a bonus we include complete information on 5 mln US Domain Names Owners with email addresses from WHOIS databases. Each record contains the following data: Domain Name, Company Name, Registrant Name, Registrant Email, Registrant Address, Phone and Fax numbers.

The CD comes with the software that allows you to import data into your database in 1-2-3 easy steps. Unlimited usage, no restrictions on importing data into your database. Format: ASCII comma separated "",""

The Price is $349.00 ONLY!!! Free Shipping. Same Day Shipping.

We are accepting credit card or check orders. Call us to place the order, or complete the form below, print and fax the form, or mail it to the address below.

ORDER LINE: 1-786-258-2394

VIA FAX: 1-954-563-6949

OR MAIL TO:
0-0 DataNetwork
2805 E. Oakland Park Blvd., #406
Fort Lauderdale, FL 33306 USA


* * * Please copy and paste form order, fill out, print, sign, and mail or fax to us.

Please Send Me ""US BUSINESSES & US DOMAINS CD"" for $349.00 (US) plus s/h.

*Name:
*Company Name:
*Shipping Address:
*City:
*State/Province:
*Postal Code:
*Country:
*Telephone:
*Fax:
*E-mail Address:

Card Type: MasterCard [ ] Visa [ ] AmEx [ ] Discover [ ]

*Credit Card Number:
*Expiration Date:

*Shipping/Handling: $Free - in the USA, $25.00 - Overnight [ ]; Overseas [ ]; C.O.D. [ ].

*TOTAL ORDER: $

*I authorize ""0-0 DataNetwork"" to charge my credit card for 'US BUSINESSES & US DOMAINS CD' in the amount of $__________ .



*Date:                                                   *Signature:


*Name as appears on Card:
*Billing Address:
*City, State & Postal Code:

=========================================================
We apologize if this message was intrusive.
We guarantee you will never again hear from us.
Just click here to be removed <a href=""mailto:abl1l1l231ink@btamail.net.cn?Subject=Remove"">REMOVE</a> or reply back with Subject REMOVE.
Thank You.
* * *"
313,"THE WORLDS MOST ADVANCED CELL PHONE SIGNAL BOOSTER & HANDS FREE CELL PHONE HEADSET

Super Signal 2002 is the worlds most technologically advanced internal antenna booster, and adapts to all makes and models of cell and mobile phones.

Normally $19.99 each
Now from $2.99 to $7.99 each!
( price based upon number of units purchased )

BONUS:  FREE Radiation Shield with each antenna purchased!

Super Signal 2002 utilizes the same advanced aerospace technology used by state-of-the-art satellite dish receivers, which results in less dropped calls, less dead zones, and improved reception in buildings, elevators, hallways, tunnels, mountains, and any place where a signal is weak.  Dont miss that urgent call from your loved ones during an emergency, natural disaster, or any critical situation.  Get yours now!

Also, check out our lightweight hands-free cellular headsets.

Click below on to our website for more information at:
www.thezs.com/0003

If you are having problems clicking the link above, then copy and paste our web address into your web browser.


If you wish to no longer be included on our mailing list, please click here: mailto:remove@nouce1.com or write us at: NOUCE1, 6822 22nd Ave. N., 
St. Petersburg, FL  33710-3918"
314,"For 
                                       Immediate Release
Cal-Bay (Stock Symbol: CBYI) 
      Watch for analyst ""Strong Buy Recommendations"" and several advisory newsletters 
      picking CBYI.   CBYI has filed to be traded on the OTCBB, 
      share prices historically INCREASE when companies get listed 
      on this larger trading exhange. CBYI is trading around 25 cents 
      and should skyrocket to $2.66 - $3.25 a share in the near future.   
      Put CBYI on your watch list, acquire a postion
TODAY.
REASONS TO INVEST IN CBYI
A profitable company and is on track to beat ALL 
      earnings estimates
!
One of the FASTEST growing distributors in environmental & safety 
      equipment instruments.
Excellent management team, several EXCLUSIVE 
      contracts.  IMPRESSIVE client list including the U.S. Air Force, 
      Anheuser-Busch, Chevron Refining and Mitsubishi Heavy Industries, 
      GE-Energy & Environmental Research.
RAPIDLY GROWING INDUSTRY
Industry revenues exceed $900 million, estimates indicate that there 
      could be as much as $25 billion from ""smell technology"" by the end of 
      2003.
!!!!! CONGRATULATIONS 
      !!!!!
Our last recommendation to buy ORBT at 
      $1.29 rallied and is holding steady at $4.51!  
      Congratulations to all our subscribers that took advantage of this 
      recommendation.
ALL removes HONERED. Please allow 7 
      days to be removed and send ALL address to:
NeverAgain@btamail.net.cn
<mailto:UnSubscribe@btamail.net.cn>
Certain statements contained in this news release may be 
forward-looking statements within the meaning of The Private Securities 
Litigation Reform Act of 1995. These statements may be identified by such terms 
as ""expect"", ""believe"", ""may"", ""will"", and ""intend"" or similar terms. We are NOT 
a registered investment advisor or a broker dealer. This is NOT an offer to buy 
or sell securities. No recommendation that the securities of the companies 
profiled should be purchased, sold or held by individuals or entities that learn 
of the profiled companies. We were paid $27,000 in cash by a third party to 
publish this report. Investing in companies profiled is high-risk and use of 
this information is for reading purposes only. If anyone decides to act as an 
investor, then it will be that investor's sole risk. Investors are advised NOT 
to invest without the proper advisement from an attorney or a registered 
financial broker. Do not rely solely on the information presented, do additional 
independent research to form your own opinion and decision regarding investing 
in the profiled companies. Be advised that the purchase of such high-risk 
securities may result in the loss of your entire investment.
The owners of this publication may already own free trading shares in 
CBYI and may immediately sell all or a portion of these shares into the open 
market at or about the time this report is published.  Factual statements 
are made as of the date stated and are subject to change without notice.  
Not intended for recipients or residents of CA,CO,CT,DE,ID,
IL,IA,LA,MO,NV,NC,OK,OH,PA,RI,TN,VA,WA,WV,WI. Void where 
prohibited.
Copyright c 2001"
315,"=============================================
Brand-New VERSION 7.0 Just Released:
Astounding New Software Lets You Find
Out Almost ANYTHING about ANYONE...
=============================================

Download it right now (no charge card needed):

For the brand-new VERSION 7.0, click here:

<a href=""http://go21bt.let.to/"">
http://go21bt.let.to/ </a>

Discover EVERYTHING you ever wanted to know about:

your friends
your family
your enemies
your employees
yourself - Is Someone Using Your Identity?
even your boss!

DID YOU KNOW you can search for ANYONE, ANYTIME,
ANYWHERE, right on the Internet?

Download this software right now--click here:

<a href=""http://go21bt.let.to/"">
http://go21bt.let.to/ </a>

This mammoth COLLECTION of internet investigative
tools & research sites will provide you with NEARLY
400 GIGANTIC SEARCH RESOURCES to locate information on:

* people you trust
* screen new tenants or roommates
* housekeepers
* current or past employment
* people you work with
* license plate number with name and address
* unlisted phone numbers
* long lost friends


Locate e-mails, phone numbers, or addresses:

o Get a Copy of Your FBI file.

o Get a Copy of Your Military file.

o FIND DEBTORS and locate HIDDEN ASSETS.

o Check CRIMINAL Drug and driving RECORDS.

o Lookup someone's EMPLOYMENT history.


For the brand-new VERSION 7.0, click here:

<a href=""http://go21bt.let.to/"">
http://go21bt.let.to/ </a>


Locate old classmates, missing family
member, or a LONG LOST LOVE:

- Do Background Checks on EMPLOYEES before you
  hire them.

- Investigate your family history, birth, death
  and government records!

- Discover how UNLISTED phone numbers are located.

- Check out your new or old LOVE INTEREST.

- Verify your own CREDIT REPORTS so you can
  correct WRONG information.

- Track anyone's Internet ACTIVITY; see the sites
  they visit, and what they are typing.

- Explore SECRET WEB SITES that conventional
  search engines have never found.

For the brand-new VERSION 7.0, click here:

<a href=""http://go21bt.let.to/"">
http://go21bt.let.to/ </a>


==> Discover little-known ways to make UNTRACEABLE
    PHONE CALLS.

==> Check ADOPTION records; locate MISSING CHILDREN
    or relatives.

==> Dig up information on your FRIENDS, NEIGHBORS,
    or BOSS!

==> Discover EMPLOYMENT opportunities from AROUND
    THE WORLD!

==> Locate transcripts and COURT ORDERS from all
    50 states.

==> CLOAK your EMAIL so your true address can't
    be discovered.

==> Find out how much ALIMONY your neighbor is paying.

==> Discover how to check your phones for WIRETAPS.

==> Or check yourself out, and you will be shocked at
    what you find!!

These are only a few things you can do, There
is no limit to the power of this software!!

To download this software, and have it in less
than 5 minutes click on the url below to visit
our website (NEW: No charge card needed!)

<a href=""http://go21bt.let.to/"">
http://go21bt.let.to/ </a>


If you no longer wish to hear about future
offers from us, send us a message with STOP
in the subject line, by clicking here:

<a href=""mailto:remv0615b@bk.ru?subject=STOP_GO21BT"">
mailto:remv0615b@bk.ru?subject=STOP_GO21BT </a>

Please allow up to 72 hours to take effect.

Please do not include any correspondence in your
message to this automatic stop robot--it will
not be read. All requests processed automatically.





 [BFRYTE^3247(^(PO1:KJ)_8J7BJK9^"":}H]"
316,"Chickweed Healing 
Salve
""A Natural Way To Healthy Skin""
A healing 
salve for skin problems such as...
* Psoriasis    
    * Skin Cancer        * 
Rashes        * Sore Throats
* 
Cuts               * 
Burns    *Hemorrhoids     * Poison 
Ivy    * Colds
* Diaper Rash    * Excema, and 
more!
GOOD FOR ALL SKIN DISORDERS
All Natural Salve, Made by Cold Infusion
Ingredients: Chickweed, Comfrey, Mint, Olive Oil, Beeswax, Lavender, 
Rosemary and Eucalyptus.
Testimonial: I had a 
skin cancer on my right leg about the size of a dime. It had grown very fast and 
was infected. With daily use of Chickweed Healing Salve the whole 
thing disappeared with 2 weeks without leaving a scar. - Sheila Holbrook,
Testimonial: My newly born baby, now one month 
old, had chronic diaper rash. Several doctors had tried to get it to go 
away...nothing seemed to work, she continued to be raw and sore. She cried all 
the time. I tried your Chickweed Healing Salve, putting it on that night. 
By the next morning she was much better. After using it for 2 days, she was 
completely cured. She is now a beautiful baby. She doesn't cry anymore. I paid 
$19.95 for it, however I would gladly have paid $100. Thanks so much. I will 
always keep it on hand. I will gladly give your product a good reference if 
anyone wants to give me a call. Shellie Cooper Stanly, KS
Testimonial: I had these dark spots on my leg for 15 years. I'm 
not sure what it was but it was growing! After two months of using the 
Chickweed Healing Salve the spots are almost gone. I also use it 
for dry skin on my heels and toes. Its amazing stuff! Kirk B.
Testimonial: I 
had a rash under my arm for 9 months. I tried a lot of salves and lotions but 
nothing worked until I tried Chickweed Healing Salve . I applied 
it 2 times a day and it went away within one month. I also had some spots on my 
face. Within 3 and 1/2 weeks they were all gone. Steve Burington
Testimonial:I 
burned myself real bad across the chest, arms, and hands. I started using 
Chickweed Healing Salve on my 3rd day in the burn unit at University of 
Louisville Hospital and had immediate results. The nurses were impressed at the 
results, 8 days later I was released. - Charles Mulligan, Athens, 
TN
Testimonial:Does a lot of good for just about anything you 
use it for. - William Byler, Centerville, PA
If you 
have a persistent skin problem that just won't go away this may be the 
relief you've been looking for. Call us and place your order today! 
281-681-3952
One 4-oz tin container $19.95 + FREE S&H
Two 4-oz tin containers $29.95 + FREE S&H
Send Check Money order or Credit Card Payment to:
CHS Laboratory
1007 Whitestone Lane
Houston, TX 77073
If you would like to place a Credit Card order 
call:
281-681-3952
We accept all 
major credit 
cards."
317,"quotepool insurance
We will attempt to provide you with the best quote you can possibly get! Our team of companies and their agents will provide a no-nonsense approach to your insurance needs. If all you want to do is ask a few questions, then they will be glad to help. They can also ease your mind and provide the insurance quickly and effortlessly. Either way, you will be glad you filled out our quick, no-obligation quote form!
Life insurance should be an essential part of any financial plan. The purpose is to protect your family's income, in the case of your death. Life Insurance can also be used for financial strength while you are still alive. It's a foundation for a strong financial portfolio! In either case, the proceeds could be used to:
Meet your children's college expenses!
Ensure comfortable retirement for your spouse!
Assist in the payment of outstanding debt!
Tax Benefit and Estate Protection
<http://u-need-life-insurance.com/>
Privacy<http://u-need-life-insurance.com/etc/privacy.htm> | Unsubscribe<http://u-need-life-insurance.com/etc/unsubscribe.htm>"
318,"Dear Sir,  

 *¡°ÖÐÂ·Í¨Åä¼þ³§¡±×¨ÒµÉú²úVE±ÃÍ·(VE·ÖÅä±Ã±ÃÍ·×Ü³É),Ö÷ÒªÐÍºÅÓÐ
    ÎåÊ®Áå4JB1,¿µÃ÷Ë¹6BT,ÒÀÎ¬¿ÂµÍÅÅ·Å,ÎåÊ®ÁäÆ¤¿¨.....

	
	
 * ÖÐÂ·Í¨Åä¼þ³§ÓÐ¶àÄêÉú²úVE±ÃÍ·µÄ¾­Ñé, ×÷Îª½ÏÔç½øÈëÓÍ±ÃÓÍ×ìÐÐ
   ÒµµÄ×¨Òµ³§,ÎÒÃÇÊ±¿Ì¸ú×Ù¹ú¼Ê¸÷µØÆäËü²ñÓÍÈ¼ÓÍÅçÉäÏµÍ³µÄÖÆ
   ÔìÉÌµÄÉú²ú¹¤ÒÕ,²¢ÇÒ²»¶ÏÎüÊÕ¹ú¼ÊÉÏ×îÏÈ½øµÄ¼Ó¹¤,²âÊÔ¹¤.²úÆ·µÄ
   ÖÊÁ¿ºÍÍâ¹ÛÍ¬¹úÍâÍ¬Àà²úÆ·Ïàµ±. 

 * Èç¶ÔÎÒÃÇµÄ²úÆ·¸ÐÐËÈ¤,ÇëÍ¨ÖªÎÒÃÇ.




 
   we have been in the field of diesel fuel injection 
systems for quite a few years.(CHINA)

   We tell you that we will update our VE h&r
(hydraulic heads for the VE distributor pump) list in our 

homepages.Thirty more models will be added.And the minimum
order will be 6pcs a model.We quote them as follows:
3-cyl:USD:50/1pcs
4-cyl:USD:50/1pcs
5-cyl:USD:55/1pcs
6-cyl:USD:55/1pcs

   We can ship the following three models to you within 8~10 weeks. after
we receive your payment.
  If you feel interested in our products,please advise the details about 
what you need,such model name,part number,quantity and so on.We are always
within your touch.
  Looking forward to our favorable cooperation.
  Hope to hear from you soon.
(NIPPON DENSO)
096400-0920
096400-0143
096400-0242
096400-0371
096400-0432
096400-1030
096400-1210
096400-1230
096400-1240   
096400-1250
096400-1330
096400-1331
096400-1600
096540-0080
(ZEXEL)
146400-8821
145400-3320
146400-4520
146400-8821
146400-9720
146401-0520
146401-2120
146402-0820
146402-0920
146403-2820
146402-3820
146402-4020
146402-4320
146403-3120
146403-3520
146404-1520
146404-2200
146430-1420
(BOSCH) 
1 468 333 320
1 468 333 323
1 468 334 313
1 468 334 327
1 468 334 337
1 468 334 378
1 468 334 475
1 468 334 496
1 468 334 565
1 468 334 575
1 468 334 580
1 468 334 590
1 468 334 594
1 468 334 595
1 468 334 596
1 468 334 603
1 468 334 604
1 468 334 606
1 468 334 666
1 468 334 675
1 468 334 720
1 468 334 780
1 468 334 798
1 468 334 874
1 468 334 899
1 468 334 946
2 468 334 021
2 468 334 050
2 468 335 022
1 468 335 345
2 468 336 013
1 468 336 352
1 468 336 364
1 468 336 371
1 468 336 403
1 468 336 418
1 468 336 423
1 468 336 464
1 468 336 480
1 468 336 614
1 468 336 626
 
 


                                    C.Hua
									
Sales & purchasing director
http://WWW.China-LuTon.com 
china_lutong@163.com

-- 
Irish Linux Users' Group Social Events: social@linux.ie
http://www.linux.ie/mailman/listinfo/social for (un)subscription information.
List maintainer: listmaster@linux.ie"
319,"1) Disney/Orlando Vacation
Roundtrip Airfare included for 2 people in all 50 States: Only $499

2) Las Vegas Vacation
Roundtrip Airfare included for 2 people in all 50 States: only $499

3) 8 Days 7 Nights in Hawaii (condo resort)
No Airfare included:                                      only $349

4) 8 Days 7 Night Bahamma Vacation
Roundtrip Airfare included (only from the following cities: Baltimore, 
Richmond, Cincinnatti, Raleigh, Memphis, Nashville, Hartford, Cleveland, Pittsburg, Ft. Lauderdale ) only $549


combo packages (Free Gift with Every Purchase):
1) Any 2 of these trips: only $749
2) Any 3 of these trips: only $869
3) All 4 trips: only $899

(all trips include $100's in discounts, 2 for 1 deals)



To Order Please call: 1-800-909-6268


All Discount Packages are Sold on a First Come, First Serve Bases. Limited Supply Availible.















To be removed From future mailings reply to cyndijo@casa.as"
320,"Useful for your Individual and Business investigation needs:
GET  THE TRUTH ABOUT ANYONE AND  ANYTHING 
over the internet
Please
  click on this link for more  information.<http://server25.web4hostplus.com/id/pages.html>
Finally find,
    track and learn  anything
about
    anyone just like a professional  Private Eye, but without a license!
Find  
people
    who have moved or changed their  name. Identify addresses, phone  numbers,
 P.O. boxes.
Locate  
relatives,
    old friends or your deadbeat spouse  you haven't seen in more than a  
decade.
Exercise
    your rights check public records and  obtain FBI,
    CIA and other government  documents.
Perform  
do-it-yourself
    background checks as often as you  like, through the, Freedom of  
Information
    Act.
Check  the 
licenses,
    qualifications and
disciplinary
    records of Doctors, Lawyers,  Accountants, Contractors.
Detect  
the identity
    of birthparents
or
    children given up for adoption as well  as their current whereabouts.
Learn  
about
    Previous Lawsuits, Hidden  Assets,
Concealed
    Ownership, Tax Liens, Court  Judgments, Criminal Records, Death,  
Marriage, Birth, Divorse Records and  MORE...
Everyone needs a copy of this  program. It's like having a gateway to a  
virtual
  investigative library through your own  computer.
With
  the most talked about software on the  net...Internet Detective 7.5 
you
  can verify anyone's income, assets,  education, employment history and  
brushes
  with the law. Unearth your own family  secrets and check your credit report.

  Track someone down from a phone  number, license plate, alias or s/s  
number,
  and much more...
Please
  click on this link for more  information.<http://server25.web4hostplus.com/id/pages.html>
click here<mailto:barbra7867@lycos.com?subject=Please_Remove>
to be removed from our mailing  list."
321,"Dear Computer User jm8675309 ,
YOUR INTERNET USAGE IS BEING TRACKED
You have no privacy protection.
Will your BOSS, WIFE or KIDS find out?
DOWNLOAD EZ INTERNET PRIVACY SOFTWARE<http://www185.wiildaccess.com/>
+++++++++++++++++++++++++++++++++++++++++++
You're in Serious Trouble - It's a Proven Fact!
Deleting ""Internet Cache and History"" will NOT protect you because any of
the Web Pages, Pictures, Movies, Videos, Sounds, E-mail, Chat Logs and
Everything Else you see or do could easily be recovered to Haunt you
forever! How would you feel if a snoop made this information public to your
Spouse, Mother & Father, Neighbors, Children, Boss or the Media? It could
easily Ruin Your Life! Solve all your problems and enjoy all the benefits of
an ""As New PC"", Evidence Eliminator can Speed-Up your PC/Internet Browser,
reclaim Hard Disk space and Professionally Clean your PC in one easy mouse
click!
Did you know for example that every click you make on Windows 98 Start Menu
is logged and stored permanently on a hidden encrypted database within your
own computer?
Deleting ""internet cache and history"", will not protect you... your PC is
keeping frightening records of both your online and off-line activity. Any
of the Web Pages, Pictures, Movies, Videos, Sounds, E-mail and Everything
Else you or anyone else have ever viewed could easily be recovered - even
many years later!
How would you feel if somebody snooped this information out of your computer
and made it public?
Do your children or their friends use your computers? What have they
downloaded and tried to delete?
Act now! And stop these files coming ""back from the dead"" to haunt you!
CLICK 
HERE<http://www185.wiildaccess.com/>
to be removed Click Here<http://www185.wiildaccess.com/takemeoff.html>"
322,"Giveaway Destinations!
VACATION
Register For One Of Our Giveaway 
            Destinations
F
R
E
E
Over 30 Destinations To Choose 
              From!
Click 
            Here To Register<http://www143.wiildaccess.com/form.htm>
Florida
Eastern United States
Western United States
Caribbean
Mexico
Hawaii
Click 
            Here To Register<http://www143.wiildaccess.com/form.htm>
This Is a Free Notification Service.
If You Do Not Wish To Be Informed About Our ""No Obligation"" 
            Services
And Products Or If You Received This In Error Please Click 
            Here<http://www143.wiildaccess.com/remove.htm> To Be Removed.."
